vehicle_id,timestamp,vehicle_image_path,plate_image_path,OCR_text
1,2025-09-30 23:24:36,output\live_stream_1\2025-09-30-23\1_vehicle.jpg,output\live_stream_1\2025-09-30-23\1_KA33B7863_plate.jpg,KA33B7863
11,2025-09-30 23:24:37,output\live_stream_1\2025-09-30-23\11_vehicle.jpg,output\live_stream_1\2025-09-30-23\11_KL073242_plate.jpg,KL07_3242
8,2025-09-30 23:24:36,output\live_stream_1\2025-09-30-23\8_vehicle.jpg,output\live_stream_1\2025-09-30-23\8_KL53EF2572_plate.jpg,KL53_EF2572
14,2025-09-30 23:24:40,output\live_stream_1\2025-09-30-23\14_vehicle.jpg,output\live_stream_1\2025-09-30-23\14_KA51AKE5935_plate.jpg,KA51AKE5935
17,2025-09-30 23:24:42,output\live_stream_1\2025-09-30-23\17_vehicle.jpg,output\live_stream_1\2025-09-30-23\17_6AT1131_plate.jpg,6AT1131
16,2025-09-30 23:24:42,output\live_stream_1\2025-09-30-23\16_vehicle.jpg,output\live_stream_1\2025-09-30-23\16_KA53B8026_plate.jpg,KA53_B8026
17,2025-09-30 23:24:43,output\live_stream_1\2025-09-30-23\17_vehicle.jpg,output\live_stream_1\2025-09-30-23\17_HR26AT1131_plate.jpg,HR26AT1131
18,2025-09-30 23:24:43,output\live_stream_1\2025-09-30-23\18_vehicle.jpg,output\live_stream_1\2025-09-30-23\18_KA03HU7620_plate.jpg,KA03H_U7620
22,2025-09-30 23:24:46,output\live_stream_1\2025-09-30-23\22_vehicle.jpg,output\live_stream_1\2025-09-30-23\22_1L955572_plate.jpg,1L955572
48,2025-09-30 23:24:58,output\live_stream_1\2025-09-30-23\48_vehicle.jpg,output\live_stream_1\2025-09-30-23\48_K50115_plate.jpg,K50115
60,2025-09-30 23:25:02,output\live_stream_1\2025-09-30-23\60_vehicle.jpg,output\live_stream_1\2025-09-30-23\60_APSL42_plate.jpg,APS_L42
60,2025-09-30 23:25:03,output\live_stream_1\2025-09-30-23\60_vehicle.jpg,output\live_stream_1\2025-09-30-23\60_KA04AE1033_plate.jpg,KA04AE1033
60,2025-09-30 23:25:03,output\live_stream_1\2025-09-30-23\60_vehicle.jpg,output\live_stream_1\2025-09-30-23\60_K4AE1083_plate.jpg,K4AE1083
